X,Y,Degree,Radius,ArcDeflection,ChordDirection,PointsDefl,DistanceBack,DistanceAhead
2152969.06998,735329.569936,-4.43213846262,1292.73442146,-4.02961575535,76.9682648552,-2.01480787767,64.6483802327,26.2625222724
2152994.50005,735336.129808,13.5955023072,421.431869293,11.076871443,79.2883484722,5.5384357215,26.2625222724,55.1682874821
2153049.00021,735344.689744,12.7609651562,448.992523778,11.5506290958,83.3269919102,5.77531454792,55.1682874821,35.3031743064
2153084.25002,735346.630144,-6.24746407692,917.104585279,-4.65354236207,85.6252864152,-2.32677118104,35.3031743064,39.1785665424
2153123.24968,735350.369968,5.33722372135,1073.51279437,3.73568931664,85.3447045025,1.86784465833,39.1785665424,30.811319535
2153153.99987,735352.30984,3.74281884633,1530.81893261,8.37265852403,90.0,4.18632926203,30.811319535,192.759857358
2153346.74997,735350.369968,1.07034920156,5352.99876243,2.74873930115,90.9193277794,1.37436965058,192.759857358,64.0370572114
2153410.7499,735348.189856,2.70904981982,2114.9769596,2.73211728341,92.449612935,1.36605864171,64.0370572114,36.8115282524
2153447.49976,735346.059904,6.45929580294,887.028265326,4.56855979515,94.4123557801,2.28427989757,36.8115282524,33.9122138991
2153481.25005,735342.749872,7.38696004533,775.634078991,5.73579784596,97.216582151,2.86789892299,33.9122138991,43.7269006693
2153524.50011,735336.309856,4.83198738781,1185.76012134,5.36391387479,100.094680689,2.68195693739,43.7269006693,67.2700380439
2153590.50011,735323.299936,-0.927079060488,6180.24739798,-1.22480265817,100.850603149,-0.612401329087,67.2700380439,64.843486498
2153654.24978,735311.44,1.2405467878,4618.59077598,1.86127186799,101.067204128,0.930635933991,64.843486498,85.1911834566
2153737.73978,735294.500176,-2.27625653375,2517.10554867,-2.3469621278,101.265564484,-1.1734810639,85.1911834566,17.9109347725
2153755.3623,735291.298912,-6.21986588784,921.173873299,-2.22812155846,99.7388993182,-1.11406077923,17.9109347725,17.911163314
2153773.04397,735288.440848,-6.22689164328,920.134519682,-2.23061889607,98.624226205,-1.11530944804,17.911163314,17.9106207547
2153790.77738,735285.927568,-6.21131685529,922.441743803,-2.22500288087,97.510313035,-1.11250144042,17.9106207547,17.9105743415
2153808.55619,735283.759072,-6.23499019116,918.939368891,-2.23349209846,96.3956856598,-1.11674604924,17.9105743415,17.9107609983
2153826.37408,735281.937472,-6.2129394057,922.200842012,-2.22561636383,95.280908472,-1.11280818191,17.9107609983,17.9109529681
2153844.22418,735280.46224,-6.21210787321,922.324284808,-2.2253343279,94.1681728006,-1.11266716395,17.9109529681,17.9110160898
2153862.09962,735279.333904,-6.22850174966,919.896659195,-2.04524640991,93.1470197806,-1.02262320494,17.9110160898,14.9254295276
